Aarav Sharma
Vivaan Patel
Aditya Singh
Vihaan Gupta
Arjun Verma
Sai Kumar Reddy
Reyansh Joshi
Ayaan Mishra
Krishna Yadav
Ishaan Mehta
Shaurya Chauhan
Atharv Pandey
Advik Dubey
Kabir Tiwari
Dhruv Saxena
Ranveer Malhotra
Arnav Bhatt
Rudra Srivastava
Aarush Kapoor
Lakshya Agarwal
Ananya Deshmukh
Diya Kulkarni
Priya Nair
Saanvi Iyer
Aisha Choudhary
Meera Bhatia
Kavya Pillai
Isha Jain
Riya Thakur
Pooja Bansal
Neha Shukla
Tanvi Rathore
Shreya Goswami
Simran Bajaj
Nidhi Raghavan
Aanya Prasad
Avni Shetty
Trisha Awasthi
Kiara Khanna
Zara Menon
Rohan Tripathi
Yash Rawat
Varun Chawla
Nikhil Patil
Siddharth Bhat
Manish Sinha
Rajat Vyas
Aakash Negi
Tanmay Hegde
Kunal Dhawan
